item_number,total_650_to_800
013164-713-31920,0
013164-713-31940,0
013164-713-32980,0
013164-760-00500,0
013164-760-02540,0
013164-760-03000,0
013164-763-30740,0
013164-763-31250,0
013164-778-00160,0
013870-027-00001,0
013870-028-00001,0
013870-054-00001,7
014496-045-30002,0
014496-059-04502,2
014496-059-04504,0
014496-059-05004,0
014496-059-05504,0
014496-059-07001,0
014496-059-07002,0
014496-059-07501,0
014496-059-07502,0
014496-059-07504,0
014496-059-08001,0
014496-059-08004,0
014496-059-09004,0
014496-059-09504,0
014496-059-10001,0
014496-059-10004,0
014496-059-10501,2
014496-059-10504,0
014496-059-11004,0
014496-059-12004,0
014496-059-12501,0
014496-059-12502,0
014496-059-12504,0
014496-059-13002,0
014496-059-13502,2
014496-059-13504,0
014496-059-14002,0
014496-059-14504,0
014496-059-15001,0
014496-059-15002,0
014496-059-15004,0
014496-059-17502,0
014496-059-18001,0
014496-059-20002,0
014496-059-21502,0
014496-059-30001,0
014496-059-30002,0
014496-064-30001,1
014496-194-04502,0
014496-194-05002,0
014496-194-05502,0
014496-194-06502,0
014496-194-07002,0
014496-194-08002,0
014496-194-09002,0
014496-194-10002,0
014496-194-12002,0
014496-194-12502,0
014496-194-14002,0
014496-194-15000,0
014496-194-15002,0
014496-194-16002,0
014496-194-16502,4
014496-194-18000,0
014496-194-19002,0
014496-194-20502,0
014496-194-21502,0
014496-194-23000,0
014496-194-23500,0
014496-194-24500,2
014496-194-25502,0
014496-194-30000,0
014496-201-00001,0
014496-206-00001,0
014496-208-00001,0
014496-212-00001,0
014496-243-00100,0
014496-243-00300,2
014496-243-00600,0
014496-266-00300,0
014496-284-10152,0
014496-284-10225,0
014496-284-12225,0
014496-284-12498,0
014496-284-15152,0
014496-284-15225,2
014496-300-01000,8
014496-357-01500,0
014496-445-00006,12
014496-445-00007,1
014496-445-00008,2
014496-543-04505,0
014496-543-05005,0
014496-543-05505,0
014496-543-06005,0
014496-543-06505,1
014496-543-07005,0
014496-543-07505,0
014496-543-08005,0
014496-543-08505,0
014496-543-09005,0
014496-543-09505,0
014496-543-10005,0
014496-543-11005,0
014496-543-11505,0
014496-543-12005,0
014496-543-12505,0
014496-543-13005,0
014496-543-13505,0
014496-543-14005,1
014496-543-14505,0
014496-543-15005,2
014496-557-00912,4
014496-557-01112,8
014496-612-01000,0
014496-612-01200,0
014496-612-01500,1
014496-664-00100,0
014496-664-00300,0
014496-664-00600,1
014496-693-00001,12
014496-695-00001,1
014496-698-00001,0
014496-711-00922,4
014496-711-01122,8
014496-728-01200,16
014496-728-01500,2
014496-790-10002,4
014496-790-12001,4
014496-790-12002,4
014496-791-10001,0
014496-791-12001,0
014496-791-12002,0
014496-791-15001,1
014496-791-15002,0
014496-792-10001,0
014496-792-10002,0
014496-792-12001,0
014496-792-15001,0
014496-792-15002,0
014510-053-00001,1
014513-021-00052,0
014513-021-00082,0
014513-029-00001,0
014513-061-00046,0
014513-061-00076,0
014513-066-00001,0
014513-071-00001,0
014513-072-00001,0
014513-075-23052,0
014513-075-23082,0
014513-075-32052,0
014513-075-32082,0
015392-070-01200,4
015392-070-01500,1
015593-022-00927,0
015593-022-01127,0
015593-022-01427,0
015593-030-00600,0
015593-030-10600,0
015593-037-11200,0
015593-037-21200,0
015593-070-01200,0
015593-070-01400,0
015593-070-01500,0
015593-070-01800,9
015593-070-02000,0
015593-070-02100,0
015593-070-02400,0
015593-071-01500,0
015593-103-00001,0
015593-104-00001,3
015593-117-00001,0
015593-133-00001,0
015593-134-00001,0
015912-159-00001,0
016143-001-01000,0
016143-001-11000,0
016143-001-11300,0
016788-002-00520,3
016788-002-00620,0
016788-002-00720,10
016788-002-01020,0
016788-003-00520,9
016788-003-00620,0
016788-003-00720,7
017050-048-00001,16
017370-001-10102,1
018318-001-00001,0
018318-002-00001,0
024853-002-30450,0
024853-012-51060,0
024853-028-51060,0
024853-028-51105,0
053708-032-20720,2
053708-032-40720,0
053708-038-10001,4
053708-038-10002,0
053708-038-30001,0
053924-051-00520,10
053924-051-00620,0
053924-051-00720,0
053924-051-00820,0
053924-051-00920,0
053924-051-01020,0
053924-051-10520,13
053924-051-10620,5
053924-051-10720,0
053924-051-10820,0
053924-051-11020,0
053924-052-00520,3
053924-052-00620,0
053924-052-00720,1
053924-052-01020,0
053924-052-10520,1
053924-052-10620,7
053924-052-10720,1
053924-052-11020,0
059005-123-31193,4
059007-788-01000,2
059007-788-01500,0
075641-150-01577,2
075735-039-00520,0
075735-039-00620,1
075875-006-00520,8
075875-006-00620,0
075875-006-00820,0
075992-001-00458,252
075992-001-00558,0
075992-001-00658,536
075992-001-00758,0
084905-131-01030,0
084905-131-01045,0
084905-131-01135,0
084905-131-01150,0
094291-102-00200,8
094291-102-00290,0
094291-103-00200,8
094291-103-00290,0
